Player Name,Prop Category,Prop Line,GAME_DATE,Matchup,Team,Opponent,Best Pick,Tier,Score,Edge,Win_Prob,Median_Proj,TEAM_MISSING_USG,join_player,join_date,SEASON_ID,PLAYER_ID,Game_ID,GAME_DATE_box,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,TEAM_ABBREVIATION,Player_Clean,PRA,PR,PA,RA,STK,FANTASY_PTS,TS_PCT,USG_PROXY,TEAM_MISSING_USG_box,TEAM_MISSING_MIN,Actual Value,Result (O/U/P),Correctness
Dyson Daniels,PTS,12.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,S Tier,3.71,-3.71,0.965489,8.788661527811414,0.0,dyson daniels,2025-11-20,22025.0,1630700.0,22500267.0,2025-11-20,ATL @ SAS,L,31.0,4.0,8.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,5.0,3.0,0.0,5.0,3.0,8.0,-2.0,1.0,Dyson Daniels,ATL,dyson daniels,19.0,14.0,13.0,11.0,3.0,26.7,0.4739336492890995,0.4335483870967742,0.0,0.0,8.0,Under,Correct
Ivica Zubac,PRA,31.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,4.29,-4.29,0.957973,27.21448942680595,15.5,ivica zubac,2025-11-20,22025.0,1627826.0,22500264.0,2025-11-20,LAC @ ORL,L,32.0,7.0,16.0,0.438,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,19.0,0.0,0.0,0.0,1.0,2.0,14.0,-8.0,1.0,Ivica Zubac,LAC,ivica zubac,33.0,33.0,14.0,19.0,0.0,35.8,0.4375,0.53125,15.5,21.3,33.0,Over,Incorrect
Dyson Daniels,PRA,23.5,2025-11-20,ATL @ SAS,ATL,SAS,Under,S Tier,5.11,-5.11,0.91956735,18.38782470574791,0.0,dyson daniels,2025-11-20,22025.0,1630700.0,22500267.0,2025-11-20,ATL @ SAS,L,31.0,4.0,8.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,5.0,3.0,0.0,5.0,3.0,8.0,-2.0,1.0,Dyson Daniels,ATL,dyson daniels,19.0,14.0,13.0,11.0,3.0,26.7,0.4739336492890995,0.4335483870967742,0.0,0.0,19.0,Under,Correct
Jeremy Sochan,PRA,16.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,2.13,-2.13,0.89446753,14.373709262980132,55.9,jeremy sochan,2025-11-20,22025.0,1631110.0,22500267.0,2025-11-20,SAS vs. ATL,W,22.0,3.0,10.0,0.3,0.0,5.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,5.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,Jeremy Sochan,SAS,jeremy sochan,18.0,13.0,13.0,10.0,2.0,27.5,0.3676470588235294,0.4945454545454545,55.9,55.9,18.0,Over,Incorrect
Ivica Zubac,PTS,17.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,2.39,-2.39,0.8676431,15.11154439292052,15.5,ivica zubac,2025-11-20,22025.0,1627826.0,22500264.0,2025-11-20,LAC @ ORL,L,32.0,7.0,16.0,0.438,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,19.0,0.0,0.0,0.0,1.0,2.0,14.0,-8.0,1.0,Ivica Zubac,LAC,ivica zubac,33.0,33.0,14.0,19.0,0.0,35.8,0.4375,0.53125,15.5,21.3,14.0,Under,Correct
James Harden,PTS,26.5,2025-11-20,LAC @ ORL,LAC,ORL,Over,S Tier,2.87,2.87,0.8659441,29.365217828462217,15.5,james harden,2025-11-20,22025.0,201935.0,22500264.0,2025-11-20,LAC @ ORL,L,31.0,8.0,16.0,0.5,5.0,11.0,0.455,10.0,12.0,0.833,1.0,4.0,5.0,8.0,2.0,0.0,5.0,1.0,31.0,-20.0,1.0,James Harden,LAC,james harden,44.0,36.0,39.0,13.0,2.0,50.0,0.7283834586466165,0.847741935483871,15.5,21.3,31.0,Over,Correct
Joel Embiid,PRA,27.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,S Tier,1.89,1.89,0.86582124,29.39138179332567,0.0,joel embiid,2025-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing Data,
Harrison Barnes,PRA,20.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,3.03,-3.03,0.8655914,17.470693859651586,55.9,harrison barnes,2025-11-20,22025.0,203084.0,22500267.0,2025-11-20,SAS vs. ATL,W,34.0,5.0,13.0,0.385,2.0,8.0,0.25,4.0,4.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,1.0,0.0,16.0,3.0,1.0,Harrison Barnes,SAS,harrison barnes,23.0,21.0,18.0,7.0,0.0,24.0,0.5420054200542006,0.4635294117647058,55.9,55.9,23.0,Over,Incorrect
Domantas Sabonis,PTS,18.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,S Tier,2.11,-2.11,0.8609784,16.393898103662025,22.7,domantas sabonis,2025-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing Data,
Malik Monk,PRA,18.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,S Tier,1.5,-1.5,0.8387284,16.99643618775038,22.7,malik monk,2025-11-20,22025.0,1628370.0,22500265.0,2025-11-20,SAC @ MEM,L,14.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,-13.0,1.0,Malik Monk,SAC,malik monk,6.0,4.0,4.0,4.0,1.0,9.4,0.25,0.3571428571428571,22.7,25.9,6.0,Under,Correct
John Collins,PRA,20.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,2.96,-2.96,0.83776337,17.53923431676934,15.5,john collins,2025-11-20,22025.0,1628381.0,22500264.0,2025-11-20,LAC @ ORL,L,25.0,4.0,8.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,9.0,-18.0,1.0,John Collins,LAC,john collins,13.0,13.0,9.0,4.0,2.0,18.8,0.5067567567567567,0.3952,15.5,21.3,13.0,Under,Correct
Gary Trent Jr.,PRA,17.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,2.16,-2.16,0.833534,15.338836556198377,37.0,gary trent,2025-11-20,22025.0,1629018.0,22500266.0,2025-11-20,MIL vs. PHI,L,38.0,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,11.0,5.0,1.0,Gary Trent Jr.,MIL,gary trent jr.,13.0,11.0,13.0,2.0,1.0,15.0,0.55,0.3157894736842105,37.0,23.9,13.0,Under,Correct
James Harden,AST,8.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,2.59,-2.59,0.81749296,5.906242387867074,15.5,james harden,2025-11-20,22025.0,201935.0,22500264.0,2025-11-20,LAC @ ORL,L,31.0,8.0,16.0,0.5,5.0,11.0,0.455,10.0,12.0,0.833,1.0,4.0,5.0,8.0,2.0,0.0,5.0,1.0,31.0,-20.0,1.0,James Harden,LAC,james harden,44.0,36.0,39.0,13.0,2.0,50.0,0.7283834586466165,0.847741935483871,15.5,21.3,8.0,Under,Correct
Tyrese Maxey,PTS,28.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,S Tier,1.55,1.55,0.8164395,30.05236612406227,26.5,tyrese maxey,2025-11-20,22025.0,1630178.0,22500266.0,2025-11-20,PHI @ MIL,W,47.0,18.0,30.0,0.6,6.0,15.0,0.4,12.0,14.0,0.857,0.0,5.0,5.0,9.0,3.0,3.0,5.0,3.0,54.0,18.0,1.0,Tyrese Maxey,PHI,tyrese maxey,68.0,59.0,63.0,14.0,6.0,86.5,0.7466814159292036,0.8757446808510637,26.5,42.2,54.0,Over,Correct
Goga Bitadze,PTS,4.5,2025-11-20,ORL vs LAC,ORL,LAC,Over,S Tier,2.48,2.48,0.8095651,6.9846791358876725,27.8,goga bitadze,2025-11-20,22025.0,1629048.0,22500264.0,2025-11-20,ORL vs. LAC,W,16.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,5.0,6.0,3.0,2.0,0.0,1.0,2.0,10.0,15.0,1.0,Goga Bitadze,ORL,goga bitadze,19.0,16.0,13.0,9.0,2.0,26.7,1.050420168067227,0.36,27.8,25.1,10.0,Over,Correct
Keldon Johnson,PTS,13.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,3.33,-3.33,0.80013037,10.17131156922385,55.9,keldon johnson,2025-11-20,22025.0,1629640.0,22500267.0,2025-11-20,SAS vs. ATL,W,32.0,9.0,12.0,0.75,3.0,5.0,0.6,4.0,5.0,0.8,2.0,5.0,7.0,2.0,1.0,0.0,2.0,2.0,25.0,8.0,1.0,Keldon Johnson,SAS,keldon johnson,34.0,32.0,27.0,9.0,1.0,37.4,0.8802816901408451,0.50625,55.9,55.9,25.0,Over,Incorrect
Jaylen Wells,PTS,11.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,1.66,-1.66,0.7934076,9.8434586540292,57.2,jaylen wells,2025-11-20,22025.0,1642377.0,22500265.0,2025-11-20,MEM vs. SAC,W,19.0,4.0,9.0,0.444,2.0,5.0,0.4,3.0,4.0,0.75,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,13.0,13.0,1.0,Jaylen Wells,MEM,jaylen wells,16.0,14.0,15.0,3.0,1.0,20.2,0.604089219330855,0.5663157894736842,57.2,50.7,13.0,Over,Incorrect
Vince Williams Jr.,PRA,24.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,4.74,-4.74,0.7933733,19.762160084182337,57.2,vince williams,2025-11-20,22025.0,1631246.0,22500265.0,2025-11-20,MEM vs. SAC,W,24.0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0,2.0,0.0,3.0,1.0,4.0,22.0,1.0,Vince Williams Jr.,MEM,vince williams jr.,24.0,9.0,19.0,20.0,2.0,35.5,0.2857142857142857,0.4166666666666667,57.2,50.7,24.0,Under,Correct
Kelly Olynyk,PRA,16.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,1.99,-1.99,0.7922301,14.505612299599823,55.9,kelly olynyk,2025-11-20,22025.0,203482.0,22500267.0,2025-11-20,SAS vs. ATL,W,13.0,2.0,4.0,0.5,1.0,2.0,0.5,3.0,4.0,0.75,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,8.0,-10.0,1.0,Kelly Olynyk,SAS,kelly olynyk,10.0,10.0,8.0,2.0,1.0,12.4,0.6944444444444444,0.52,55.9,55.9,10.0,Under,Correct
Anthony Black,PTS,12.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,S Tier,1.94,-1.94,0.78818893,10.559148561996649,27.8,anthony black,2025-11-20,22025.0,1641710.0,22500264.0,2025-11-20,ORL vs. LAC,W,29.0,4.0,9.0,0.444,1.0,3.0,0.333,3.0,4.0,0.75,1.0,3.0,4.0,4.0,4.0,0.0,2.0,3.0,12.0,16.0,1.0,Anthony Black,ORL,anthony black,20.0,16.0,16.0,8.0,4.0,32.8,0.5576208178438662,0.44,27.8,25.1,12.0,Under,Correct
DeMar DeRozan,PTS,17.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,S Tier,1.58,-1.58,0.74673784,15.915783096616137,22.7,demar derozan,2025-11-20,22025.0,201942.0,22500265.0,2025-11-20,SAC @ MEM,L,15.0,2.0,3.0,0.667,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,7.0,-22.0,1.0,DeMar DeRozan,SAC,demar derozan,9.0,7.0,9.0,2.0,1.0,13.0,0.8101851851851851,0.288,22.7,25.9,7.0,Under,Correct
John Collins,PTS,13.5,2025-11-20,LAC @ ORL,LAC,ORL,Under,S Tier,2.72,-2.72,0.7406739,10.77928919436602,15.5,john collins,2025-11-20,22025.0,1628381.0,22500264.0,2025-11-20,LAC @ ORL,L,25.0,4.0,8.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,9.0,-18.0,1.0,John Collins,LAC,john collins,13.0,13.0,9.0,4.0,2.0,18.8,0.5067567567567567,0.3952,15.5,21.3,9.0,Under,Correct
Ryan Rollins,PRA,32.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,4.96,-4.96,0.73730147,27.542231986085273,37.0,ryan rollins,2025-11-20,22025.0,1631157.0,22500266.0,2025-11-20,MIL vs. PHI,L,40.0,13.0,26.0,0.5,2.0,8.0,0.25,4.0,4.0,1.0,1.0,5.0,6.0,14.0,1.0,0.0,3.0,3.0,32.0,-15.0,1.0,Ryan Rollins,MIL,ryan rollins,52.0,38.0,46.0,20.0,1.0,60.2,0.5763688760806917,0.769,37.0,23.9,52.0,Over,Incorrect
Malik Monk,PTS,12.5,2025-11-20,SAC @ MEM,SAC,MEM,Under,S Tier,1.85,-1.85,0.73613787,10.652033119408292,22.7,malik monk,2025-11-20,22025.0,1628370.0,22500265.0,2025-11-20,SAC @ MEM,L,14.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,-13.0,1.0,Malik Monk,SAC,malik monk,6.0,4.0,4.0,4.0,1.0,9.4,0.25,0.3571428571428571,22.7,25.9,2.0,Under,Correct
Dominick Barlow,PTS,5.5,2025-11-20,PHI @ MIL,PHI,MIL,Over,S Tier,3.79,3.79,0.7183444,9.292660353431971,26.5,dominick barlow,2025-11-20,22025.0,1631230.0,22500266.0,2025-11-20,PHI @ MIL,W,29.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,0.0,2.0,0.0,0.0,2.0,16.0,1.0,Dominick Barlow,PHI,dominick barlow,11.0,8.0,5.0,9.0,2.0,19.7,1.0,0.0344827586206896,26.5,42.2,2.0,Under,Incorrect
Keldon Johnson,PRA,23.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,3.14,-3.14,0.7134311,20.359327951725017,55.9,keldon johnson,2025-11-20,22025.0,1629640.0,22500267.0,2025-11-20,SAS vs. ATL,W,32.0,9.0,12.0,0.75,3.0,5.0,0.6,4.0,5.0,0.8,2.0,5.0,7.0,2.0,1.0,0.0,2.0,2.0,25.0,8.0,1.0,Keldon Johnson,SAS,keldon johnson,34.0,32.0,27.0,9.0,1.0,37.4,0.8802816901408451,0.50625,55.9,55.9,34.0,Over,Incorrect
Devin Vassell,PRA,24.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,5.3,-5.3,0.70243776,19.204928746472035,55.9,devin vassell,2025-11-20,22025.0,1630170.0,22500267.0,2025-11-20,SAS vs. ATL,W,33.0,6.0,11.0,0.545,3.0,5.0,0.6,0.0,0.0,0.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,15.0,13.0,1.0,Devin Vassell,SAS,devin vassell,23.0,20.0,18.0,8.0,2.0,30.5,0.6818181818181818,0.3636363636363636,55.9,55.9,23.0,Under,Correct
Ryan Rollins,PTS,21.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,3.48,-3.48,0.69573724,18.016459512922665,37.0,ryan rollins,2025-11-20,22025.0,1631157.0,22500266.0,2025-11-20,MIL vs. PHI,L,40.0,13.0,26.0,0.5,2.0,8.0,0.25,4.0,4.0,1.0,1.0,5.0,6.0,14.0,1.0,0.0,3.0,3.0,32.0,-15.0,1.0,Ryan Rollins,MIL,ryan rollins,52.0,38.0,46.0,20.0,1.0,60.2,0.5763688760806917,0.769,37.0,23.9,32.0,Over,Incorrect
Gary Trent Jr.,PTS,12.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,3.22,-3.22,0.68386966,9.275079981050542,37.0,gary trent,2025-11-20,22025.0,1629018.0,22500266.0,2025-11-20,MIL vs. PHI,L,38.0,4.0,10.0,0.4,3.0,7.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,11.0,5.0,1.0,Gary Trent Jr.,MIL,gary trent jr.,13.0,11.0,13.0,2.0,1.0,15.0,0.55,0.3157894736842105,37.0,23.9,11.0,Under,Correct
James Harden,PRA,40.5,2025-11-20,LAC @ ORL,LAC,ORL,Over,S Tier,3.5,3.5,0.6836039,43.99731222804283,15.5,james harden,2025-11-20,22025.0,201935.0,22500264.0,2025-11-20,LAC @ ORL,L,31.0,8.0,16.0,0.5,5.0,11.0,0.455,10.0,12.0,0.833,1.0,4.0,5.0,8.0,2.0,0.0,5.0,1.0,31.0,-20.0,1.0,James Harden,LAC,james harden,44.0,36.0,39.0,13.0,2.0,50.0,0.7283834586466165,0.847741935483871,15.5,21.3,44.0,Over,Correct
Anthony Black,PRA,18.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,S Tier,1.53,-1.53,0.67245686,16.971454044999476,27.8,anthony black,2025-11-20,22025.0,1641710.0,22500264.0,2025-11-20,ORL vs. LAC,W,29.0,4.0,9.0,0.444,1.0,3.0,0.333,3.0,4.0,0.75,1.0,3.0,4.0,4.0,4.0,0.0,2.0,3.0,12.0,16.0,1.0,Anthony Black,ORL,anthony black,20.0,16.0,16.0,8.0,4.0,32.8,0.5576208178438662,0.44,27.8,25.1,20.0,Over,Incorrect
De'Aaron Fox,PTS,25.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,4.25,-4.25,0.66342616,21.245802941902536,55.9,deaaron fox,2025-11-20,22025.0,1628368.0,22500267.0,2025-11-20,SAS vs. ATL,W,31.0,9.0,16.0,0.563,2.0,4.0,0.5,6.0,10.0,0.6,2.0,3.0,5.0,9.0,3.0,0.0,2.0,4.0,26.0,-7.0,1.0,De'Aaron Fox,SAS,de'aaron fox,40.0,31.0,35.0,14.0,3.0,52.5,0.6372549019607844,0.7225806451612903,55.9,55.9,26.0,Over,Incorrect
Luke Kornet,REB,8.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,2.61,-2.61,0.6561712,5.888937416651331,55.9,luke kornet,2025-11-20,22025.0,1628436.0,22500267.0,2025-11-20,SAS vs. ATL,W,23.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,Luke Kornet,SAS,luke kornet,10.0,8.0,7.0,5.0,0.0,10.6,0.5122950819672131,0.2556521739130434,55.9,55.9,3.0,Under,Correct
Zach Edey,PRA,23.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,1.94,-1.94,0.65190876,21.563998422741633,57.2,zach edey,2025-11-20,22025.0,1641744.0,22500265.0,2025-11-20,MEM vs. SAC,W,25.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,16.0,23.0,1.0,Zach Edey,MEM,zach edey,20.0,20.0,16.0,4.0,2.0,26.8,1.075268817204301,0.2976,57.2,50.7,20.0,Under,Correct
De'Aaron Fox,AST,7.5,2025-11-20,SAS vs ATL,SAS,ATL,Under,S Tier,1.57,-1.57,0.6465088,5.927640148916872,55.9,deaaron fox,2025-11-20,22025.0,1628368.0,22500267.0,2025-11-20,SAS vs. ATL,W,31.0,9.0,16.0,0.563,2.0,4.0,0.5,6.0,10.0,0.6,2.0,3.0,5.0,9.0,3.0,0.0,2.0,4.0,26.0,-7.0,1.0,De'Aaron Fox,SAS,de'aaron fox,40.0,31.0,35.0,14.0,3.0,52.5,0.6372549019607844,0.7225806451612903,55.9,55.9,9.0,Over,Incorrect
Wendell Carter Jr.,REB,8.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,S Tier,1.75,-1.75,0.62984765,6.751149327053934,27.8,wendell carter,2025-11-20,22025.0,1628976.0,22500264.0,2025-11-20,ORL vs. LAC,W,32.0,3.0,11.0,0.273,1.0,3.0,0.333,0.0,0.0,0.0,1.0,6.0,7.0,6.0,1.0,0.0,0.0,4.0,7.0,13.0,1.0,Wendell Carter Jr.,ORL,wendell carter jr.,20.0,14.0,13.0,13.0,1.0,27.4,0.3181818181818182,0.34375,27.8,25.1,7.0,Under,Correct
Desmond Bane,PRA,30.5,2025-11-20,ORL vs LAC,ORL,LAC,Under,S Tier,2.57,-2.57,0.6285442,27.925198972391296,27.8,desmond bane,2025-11-20,22025.0,1630217.0,22500264.0,2025-11-20,ORL vs. LAC,W,31.0,5.0,15.0,0.333,3.0,6.0,0.5,2.0,2.0,1.0,1.0,6.0,7.0,5.0,1.0,0.0,2.0,0.0,15.0,13.0,1.0,Desmond Bane,ORL,desmond bane,27.0,22.0,20.0,12.0,1.0,31.9,0.4722921914357682,0.5767741935483872,27.8,25.1,27.0,Under,Correct
Myles Turner,PRA,25.5,2025-11-20,MIL vs PHI,MIL,PHI,Under,S Tier,3.63,-3.63,0.6203137,21.867555852968145,37.0,myles turner,2025-11-20,22025.0,1626167.0,22500266.0,2025-11-20,MIL vs. PHI,L,28.0,5.0,13.0,0.385,3.0,9.0,0.333,1.0,2.0,0.5,1.0,9.0,10.0,1.0,0.0,0.0,0.0,2.0,14.0,1.0,1.0,Myles Turner,MIL,myles turner,25.0,24.0,15.0,11.0,0.0,27.5,0.5043227665706052,0.4957142857142857,37.0,23.9,25.0,Under,Correct
Zach Edey,REB,9.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,2.21,-2.21,0.6008897,7.29477781549396,57.2,zach edey,2025-11-20,22025.0,1641744.0,22500265.0,2025-11-20,MEM vs. SAC,W,25.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,16.0,23.0,1.0,Zach Edey,MEM,zach edey,20.0,20.0,16.0,4.0,2.0,26.8,1.075268817204301,0.2976,57.2,50.7,4.0,Under,Correct
Zach Edey,RA,11.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,1.57,-1.57,0.59874666,9.930494338422264,57.2,zach edey,2025-11-20,22025.0,1641744.0,22500265.0,2025-11-20,MEM vs. SAC,W,25.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,16.0,23.0,1.0,Zach Edey,MEM,zach edey,20.0,20.0,16.0,4.0,2.0,26.8,1.075268817204301,0.2976,57.2,50.7,4.0,Under,Correct
Vince Williams Jr.,PTS,13.5,2025-11-20,MEM vs SAC,MEM,SAC,Under,S Tier,4.71,-4.71,0.59411705,8.793902191382006,57.2,vince williams,2025-11-20,22025.0,1631246.0,22500265.0,2025-11-20,MEM vs. SAC,W,24.0,2.0,7.0,0.286,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0,2.0,0.0,3.0,1.0,4.0,22.0,1.0,Vince Williams Jr.,MEM,vince williams jr.,24.0,9.0,19.0,20.0,2.0,35.5,0.2857142857142857,0.4166666666666667,57.2,50.7,4.0,Under,Correct
